"year","age","gender","uli","state"
1,39,"female",56.6928256072745,"didiff"
1,35,"male",53.6535576217628,"didiff"
1,30,"female",52.8512980444061,"didiff"
1,30,"male",65.9072135803288,"didiff"
1,34,"male",75.1163601559903,"didiff"
1,37,"male",27.3353323749473,"didiff"
1,33,"male",66.220524326994,"didiff"
1,31,"male",31.5030769362183,"didiff"
1,37,"male",46.3134289855637,"didiff"
1,35,"female",66.1834422392869,"didiff"
1,39,"male",46.9757033688294,"didiff"
1,37,"male",30.4369510461931,"didiff"
1,33,"female",32.4170857541128,"didiff"
1,37,"female",62.9912722891068,"didiff"
1,35,"male",46.7568554376471,"didiff"
1,36,"male",46.2171976619759,"didiff"
1,30,"female",53.6872542223661,"didiff"
1,38,"male",48.4761836272476,"didiff"
1,34,"male",47.8983441259009,"didiff"
1,38,"male",79.5221281262103,"didiff"
1,31,"male",70.2656943213861,"didiff"
1,37,"male",61.0364180293051,"didiff"
1,33,"female",69.944684821482,"didiff"
1,30,"female",50.8671628820757,"didiff"
1,31,"female",63.730520814154,"didiff"
1,39,"female",53.4004009791516,"didiff"
1,34,"female",76.5678029127477,"didiff"
1,33,"female",71.5092076165834,"didiff"
1,33,"male",22.6294581230035,"didiff"
1,37,"male",63.3259324203072,"didiff"
1,33,"female",64.4042225501517,"didiff"
1,32,"male",64.2919686679369,"didiff"
1,38,"male",24.3496627280077,"didiff"
1,32,"female",48.3283635501417,"didiff"
1,34,"male",56.8976568366884,"didiff"
1,32,"female",69.7182223851644,"didiff"
1,38,"female",58.9268789775583,"didiff"
1,34,"female",54.1209900966221,"didiff"
1,34,"female",65.8388350947147,"didiff"
1,36,"female",37.0162926735892,"didiff"
1,30,"female",67.055717993716,"didiff"
1,39,"female",65.3268949163392,"didiff"
1,32,"male",82.5939529666129,"didiff"
1,36,"male",32.8177288100178,"didiff"
1,33,"male",64.602545230353,"didiff"
1,30,"female",86.2538246815685,"didiff"
1,33,"female",58.7045753300694,"didiff"
1,36,"male",65.635343789867,"didiff"
1,36,"male",65.4415843738612,"didiff"
1,39,"female",63.418877554332,"didiff"
1,34,"female",44.3253258750289,"didiff"
1,38,"male",43.5451412841409,"didiff"
1,34,"male",52.2353152873569,"didiff"
