"quarter","age","gender","uli","state"
24,35,"female",68.3168257081531,"interruptia"
24,37,"male",86.2885875021548,"interruptia"
24,37,"female",66.0747650563704,"interruptia"
24,35,"female",35.1286179894439,"interruptia"
24,37,"female",87.6436928447194,"interruptia"
24,33,"male",39.8163072535801,"interruptia"
24,33,"female",44.872000259159,"interruptia"
24,37,"female",59.89649566564,"interruptia"
24,32,"female",57.0225901235554,"interruptia"
24,32,"female",66.4421466267575,"interruptia"
24,37,"male",40.2284165162429,"interruptia"
24,30,"female",47.2242112275978,"interruptia"
24,30,"female",53.8243641622096,"interruptia"
24,38,"female",42.6002027695355,"interruptia"
24,33,"male",42.1560240162531,"interruptia"
24,34,"female",53.9370178042603,"interruptia"
24,37,"female",58.9184803905916,"interruptia"
24,34,"female",75.2978364937915,"interruptia"
24,37,"male",56.6524164709324,"interruptia"
24,36,"female",57.6234222870787,"interruptia"
24,32,"male",52.2249484637699,"interruptia"
24,35,"male",36.2327095061937,"interruptia"
24,33,"male",66.5301749326885,"interruptia"
24,37,"male",60.7032615958688,"interruptia"
24,39,"female",60.2457381021128,"interruptia"
24,31,"male",36.6036579340477,"interruptia"
24,34,"male",54.6210248466522,"interruptia"
24,34,"female",58.0115826666294,"interruptia"
24,35,"male",64.2603017328191,"interruptia"
24,31,"male",54.1362752277457,"interruptia"
24,39,"male",49.7163823019465,"interruptia"
24,35,"male",41.628602060425,"interruptia"
24,35,"female",70.2994321886743,"interruptia"
24,32,"female",59.5755190079309,"interruptia"
24,32,"female",58.9052549448122,"interruptia"
24,33,"female",38.1978863245097,"interruptia"
24,30,"male",43.5474746359208,"interruptia"
24,34,"female",62.5133779905206,"interruptia"
24,31,"male",55.6126630111421,"interruptia"
24,35,"female",59.6797602941521,"interruptia"
24,38,"male",53.2733787255912,"interruptia"
24,38,"female",50.1605091585932,"interruptia"
24,35,"female",68.2447850565644,"interruptia"
24,37,"female",68.2292593771635,"interruptia"
24,32,"female",71.0496444981155,"interruptia"
24,30,"female",50.374910032332,"interruptia"
24,34,"female",59.5858100695179,"interruptia"
24,35,"male",51.4050284583562,"interruptia"
24,36,"female",68.9550268360365,"interruptia"
24,31,"male",42.3607619206857,"interruptia"
24,39,"male",67.641635655312,"interruptia"
24,34,"female",44.2515998833224,"interruptia"
24,37,"male",16.1647091796946,"interruptia"
24,39,"male",38.4665007546537,"interruptia"
24,38,"male",55.3965112929272,"interruptia"
24,35,"female",43.8903780267119,"interruptia"
24,33,"female",68.4446454480377,"interruptia"
24,34,"male",52.825626317594,"interruptia"
24,32,"male",61.3714838046,"interruptia"
24,30,"female",51.7671732914223,"interruptia"
24,34,"female",47.8997448039197,"interruptia"
24,37,"female",30.5908562375345,"interruptia"
24,32,"female",55.2295626721627,"interruptia"
24,35,"female",71.6714775360168,"interruptia"
24,37,"male",44.1052654859186,"interruptia"
24,33,"male",63.4015348467192,"interruptia"
24,35,"female",56.0462986686577,"interruptia"
24,34,"female",82.589151806681,"interruptia"
24,39,"female",51.6339938034409,"interruptia"
24,33,"female",55.8939871314823,"interruptia"
24,34,"female",69.1057704502437,"interruptia"
24,35,"male",66.2807101747017,"interruptia"
24,39,"male",46.6572601618352,"interruptia"
24,34,"female",68.3882469194355,"interruptia"
24,31,"male",44.281340061172,"interruptia"
24,33,"male",68.3995838910443,"interruptia"
24,31,"male",80.0602097189061,"interruptia"
24,36,"male",52.2464084962107,"interruptia"
24,33,"male",54.1225159386162,"interruptia"
24,35,"male",26.8066329191812,"interruptia"
24,36,"female",67.1563769771401,"interruptia"
24,30,"female",58.8029431671718,"interruptia"
24,33,"female",41.6248642071146,"interruptia"
24,39,"female",63.5059674452311,"interruptia"
24,33,"male",57.2582757158404,"interruptia"
24,33,"male",65.7803436027834,"interruptia"
24,30,"female",73.4391091095453,"interruptia"
24,30,"male",61.9916905691756,"interruptia"
24,39,"male",49.4586478122013,"interruptia"
24,38,"male",50.1908912252947,"interruptia"
24,35,"female",53.0373234830851,"interruptia"
24,36,"male",78.339919740736,"interruptia"
24,39,"male",62.7921296435296,"interruptia"
